category,category_rank,example_id,horizon,horizon_label,entity,slot_index,faction,structurally_valid,target_present,predicted_presence,observed,target_x,predicted_x,target_y,predicted_y,position_error_l2,target_hp,predicted_hp,hp_abs_error
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A0,0,ally,True,True,0.9981827735900879,True,-0.12881281971931458,-0.11541748046875,-0.14416387677192688,-0.2003173828125,0.057729121297597885,0.8080000281333923,0.72216796875,0.08583205938339233
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A1,1,ally,True,True,0.9998756647109985,True,-0.3961274027824402,-0.41259765625,-0.22977766394615173,-0.27978515625,0.05264996364712715,1.0,0.9482421875,0.0517578125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A2,2,ally,True,False,0.015306354500353336,False,0.0,0.01177978515625,0.0,0.0139923095703125,0.018290655687451363,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A3,3,ally,True,False,0.015306354500353336,False,0.0,0.01177978515625,0.0,0.0139923095703125,0.018290655687451363,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A4,4,ally,True,False,0.015306354500353336,False,0.0,0.01177978515625,0.0,0.0139923095703125,0.018290655687451363,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A5,5,ally,True,False,0.015306354500353336,False,0.0,0.01177978515625,0.0,0.0139923095703125,0.018290655687451363,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A6,6,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A7,7,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,A8,8,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E0,9,enemy,True,True,1.0,True,-0.191281259059906,-0.266357421875,0.17021876573562622,0.1810302734375,0.07585063576698303,1.0,0.97314453125,0.02685546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E1,10,enemy,True,False,0.015306354500353336,False,0.0,-0.020294189453125,0.0,0.01177978515625,0.023465240374207497,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E2,11,enemy,True,False,0.015306354500353336,False,0.0,-0.020294189453125,0.0,0.01177978515625,0.023465240374207497,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E3,12,enemy,True,True,0.9999997615814209,True,-0.35378125309944153,-0.32666015625,0.15850001573562622,0.15625,0.02721427008509636,1.0,0.92724609375,0.07275390625
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E4,13,enemy,True,False,0.015306354500353336,False,0.0,-0.020294189453125,0.0,0.01177978515625,0.023465240374207497,0.0,-0.007762908935546875,0.007762908935546875
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E5,14,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E6,15,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E7,16,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E8,17,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,1,H1,E9,18,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A0,0,ally,True,True,0.998798131942749,True,-0.3256876468658447,-0.250732421875,-0.14416387677192688,-0.201904296875,0.09461628645658493,0.8080000281333923,0.7236328125,0.08436721563339233
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A1,1,ally,True,True,0.9997981190681458,True,-0.3961274027824402,-0.375,-0.18055900931358337,-0.2188720703125,0.04375223070383072,1.0,0.9296875,0.0703125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A2,2,ally,True,False,0.013480102643370628,False,0.0,0.01407623291015625,0.0,0.01995849609375,0.02442297898232937,0.0,-0.00785064697265625,0.00785064697265625
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A3,3,ally,True,False,0.013480102643370628,False,0.0,0.01407623291015625,0.0,0.01995849609375,0.02442297898232937,0.0,-0.00785064697265625,0.00785064697265625
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A4,4,ally,True,False,0.013480102643370628,False,0.0,0.01407623291015625,0.0,0.01995849609375,0.02442297898232937,0.0,-0.00785064697265625,0.00785064697265625
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A5,5,ally,True,False,0.013480102643370628,False,0.0,0.01407623291015625,0.0,0.01995849609375,0.02442297898232937,0.0,-0.00785064697265625,0.00785064697265625
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A6,6,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A7,7,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,A8,8,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E0,9,enemy,True,True,0.9999998807907104,True,-0.191281259059906,-0.254150390625,0.17021876573562622,0.170654296875,0.06287063658237457,1.0,0.97607421875,0.02392578125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E1,10,enemy,True,False,0.01784873753786087,False,0.0,-0.014556884765625,0.0,0.00896453857421875,0.017095783725380898,0.0,-0.00853729248046875,0.00853729248046875
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E2,11,enemy,True,False,0.01784873753786087,False,0.0,-0.014556884765625,0.0,0.00896453857421875,0.017095783725380898,0.0,-0.00853729248046875,0.00853729248046875
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E3,12,enemy,True,True,0.9999997615814209,True,-0.35378125309944153,-0.26123046875,0.15850001573562622,0.132080078125,0.09624791145324707,1.0,0.9306640625,0.0693359375
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E4,13,enemy,True,False,0.01784873753786087,False,0.0,-0.014556884765625,0.0,0.00896453857421875,0.017095783725380898,0.0,-0.00853729248046875,0.00853729248046875
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E5,14,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E6,15,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E7,16,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E8,17,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,5,H5,E9,18,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A0,0,ally,True,True,0.9983515739440918,True,-0.37490642070770264,-0.2080078125,-0.1781700849533081,-0.1781005859375,0.16689862310886383,0.8080000281333923,0.66845703125,0.13954299688339233
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A1,1,ally,True,True,0.9994046688079834,True,-0.28598886728286743,-0.2274169921875,-0.10340860486030579,-0.175048828125,0.09253640472888947,1.0,0.8564453125,0.1435546875
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A2,2,ally,True,False,0.013325147330760956,False,0.0,0.0142364501953125,0.0,0.02197265625,0.02618156187236309,0.0,-0.005092620849609375,0.005092620849609375
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A3,3,ally,True,False,0.013325147330760956,False,0.0,0.0142364501953125,0.0,0.02197265625,0.02618156187236309,0.0,-0.005092620849609375,0.005092620849609375
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A4,4,ally,True,False,0.013325147330760956,False,0.0,0.0142364501953125,0.0,0.02197265625,0.02618156187236309,0.0,-0.005092620849609375,0.005092620849609375
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A5,5,ally,True,False,0.013325147330760956,False,0.0,0.0142364501953125,0.0,0.02197265625,0.02618156187236309,0.0,-0.005092620849609375,0.005092620849609375
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A6,6,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A7,7,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,A8,8,ally,False,False,0.6806663870811462,False,0.0,0.0030517578125,0.0,0.065185546875,0.06525694578886032,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E0,9,enemy,True,True,0.9999998807907104,True,-0.191281259059906,-0.239501953125,0.17021876573562622,0.1658935546875,0.048414282500743866,1.0,0.97900390625,0.02099609375
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E1,10,enemy,True,False,0.01764446496963501,False,0.0,-0.01445770263671875,0.0,0.00868988037109375,0.016868289560079575,0.0,-0.006103515625,0.006103515625
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E2,11,enemy,True,False,0.01764446496963501,False,0.0,-0.01445770263671875,0.0,0.00868988037109375,0.016868289560079575,0.0,-0.006103515625,0.006103515625
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E3,12,enemy,True,True,0.9999997615814209,True,-0.35378125309944153,-0.2529296875,0.15850001573562622,0.1348876953125,0.10357885807752609,1.0,0.92138671875,0.07861328125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E4,13,enemy,True,False,0.01764446496963501,False,0.0,-0.01445770263671875,0.0,0.00868988037109375,0.016868289560079575,0.0,-0.006103515625,0.006103515625
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E5,14,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E6,15,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E7,16,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E8,17,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
copying_dynamic_change,1,ep00199_t0082_item004817,15,H15,E9,18,enemy,False,False,0.6806663870811462,False,0.0,-0.00562286376953125,0.0,0.0030517578125,0.006397642195224762,0.0,0.31298828125,0.31298828125
