category,category_rank,example_id,horizon,entity,slot_index,faction,feature_index,feature,actual,predicted,abs_error,start_value,target_change_from_start,predicted_change_from_start
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,0,hp,0.8080000281333923,0.74609375,0.061906278133392334,0.8080000281333923,0.0,-0.061906278133392334
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,1,cooldown_or_energy,0.0,0.050750732421875,0.050750732421875,0.0,0.0,0.050750732421875
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,2,dx,-0.37490642070770264,-0.375244140625,0.0003377199172973633,-0.3256876468658447,-0.04921877384185791,-0.04955649375915527
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,3,dy,-0.18649828433990479,-0.230712890625,0.044214606285095215,-0.18649828433990479,0.0,-0.044214606285095215
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,4,shield,0.0,-0.05999755859375,0.05999755859375,0.0,0.0,-0.05999755859375
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,5,dynamic_5,0.0,0.0008864402770996094,0.0008864402770996094,0.0,0.0,0.0008864402770996094
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,6,dynamic_6,1.0,1.00390625,0.00390625,1.0,0.0,0.00390625
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,7,dynamic_7,0.0,0.01276397705078125,0.01276397705078125,0.0,0.0,0.01276397705078125
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,8,dynamic_8,0.0,0.01507568359375,0.01507568359375,0.0,0.0,0.01507568359375
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,9,dynamic_9,0.0,0.0001875162124633789,0.0001875162124633789,0.0,0.0,0.0001875162124633789
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,10,dynamic_10,0.0,-0.0195770263671875,0.0195770263671875,0.0,0.0,-0.0195770263671875
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,11,dynamic_11,0.0,-0.0352783203125,0.0352783203125,0.0,0.0,-0.0352783203125
late_rollout_drift,1,ep00199_t0092_item004817,1,A0,0,ally,12,dynamic_12,0.0,-0.010345458984375,0.010345458984375,0.0,0.0,-0.010345458984375
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,0,hp,1.0,0.92822265625,0.07177734375,1.0,0.0,-0.07177734375
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,1,cooldown_or_energy,0.0,-0.03607177734375,0.03607177734375,0.0,0.0,-0.03607177734375
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,2,dx,-0.39716416597366333,-0.3994140625,0.00224989652633667,-0.4453461766242981,0.048182010650634766,0.045932114124298096
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,3,dy,-0.17562633752822876,-0.22705078125,0.05142444372177124,-0.1760551929473877,0.00042885541915893555,-0.050995588302612305
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,4,shield,0.0,-0.0540771484375,0.0540771484375,0.0,0.0,-0.0540771484375
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,5,dynamic_5,0.0,-0.018524169921875,0.018524169921875,0.0,0.0,-0.018524169921875
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,6,dynamic_6,1.0,0.98681640625,0.01318359375,1.0,0.0,-0.01318359375
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,7,dynamic_7,0.0,0.1002197265625,0.1002197265625,0.0,0.0,0.1002197265625
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,8,dynamic_8,0.0,-0.030731201171875,0.030731201171875,0.0,0.0,-0.030731201171875
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,9,dynamic_9,0.0,0.000919342041015625,0.000919342041015625,0.0,0.0,0.000919342041015625
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,10,dynamic_10,0.0,0.0011386871337890625,0.0011386871337890625,0.0,0.0,0.0011386871337890625
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,11,dynamic_11,0.0,-0.00710296630859375,0.00710296630859375,0.0,0.0,-0.00710296630859375
late_rollout_drift,1,ep00199_t0092_item004817,1,A1,1,ally,12,dynamic_12,0.0,-0.01259613037109375,0.01259613037109375,0.0,0.0,-0.01259613037109375
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,0,hp,1.0,0.97802734375,0.02197265625,1.0,0.0,-0.02197265625
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,1,dx,-0.191281259059906,-0.26806640625,0.076785147190094,-0.191281259059906,0.0,-0.076785147190094
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,2,dy,0.17021876573562622,0.1827392578125,0.01252049207687378,0.17021876573562622,0.0,0.01252049207687378
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,3,dynamic_3,0.0,-0.0305328369140625,0.0305328369140625,0.0,0.0,-0.0305328369140625
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,4,dynamic_4,0.0,-0.0011510848999023438,0.0011510848999023438,0.0,0.0,-0.0011510848999023438
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,5,dynamic_5,0.0,-0.01059722900390625,0.01059722900390625,0.0,0.0,-0.01059722900390625
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,6,dynamic_6,0.0,-0.0078887939453125,0.0078887939453125,0.0,0.0,-0.0078887939453125
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,7,dynamic_7,0.0,0.0089263916015625,0.0089263916015625,0.0,0.0,0.0089263916015625
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,8,dynamic_8,1.0,1.0263671875,0.0263671875,1.0,0.0,0.0263671875
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,9,dynamic_9,0.0,0.0006566047668457031,0.0006566047668457031,0.0,0.0,0.0006566047668457031
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,10,dynamic_10,0.0,0.0153961181640625,0.0153961181640625,0.0,0.0,0.0153961181640625
late_rollout_drift,1,ep00199_t0092_item004817,1,E0,9,enemy,11,dynamic_11,0.0,-0.00988006591796875,0.00988006591796875,0.0,0.0,-0.00988006591796875
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,0,hp,1.0,0.93212890625,0.06787109375,1.0,0.0,-0.06787109375
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,1,dx,-0.35378125309944153,-0.33544921875,0.01833203434944153,-0.35378125309944153,0.0,0.01833203434944153
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,2,dy,0.15850001573562622,0.1552734375,0.0032265782356262207,0.15850001573562622,0.0,-0.0032265782356262207
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,3,dynamic_3,0.0,-0.007282257080078125,0.007282257080078125,0.0,0.0,-0.007282257080078125
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,4,dynamic_4,0.0,-0.0019369125366210938,0.0019369125366210938,0.0,0.0,-0.0019369125366210938
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,5,dynamic_5,0.0,0.0197296142578125,0.0197296142578125,0.0,0.0,0.0197296142578125
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,6,dynamic_6,0.0,-0.0134429931640625,0.0134429931640625,0.0,0.0,-0.0134429931640625
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,7,dynamic_7,0.0,0.005985260009765625,0.005985260009765625,0.0,0.0,0.005985260009765625
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,8,dynamic_8,1.0,0.951171875,0.048828125,1.0,0.0,-0.048828125
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,9,dynamic_9,0.0,0.000988006591796875,0.000988006591796875,0.0,0.0,0.000988006591796875
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,10,dynamic_10,0.0,0.0176239013671875,0.0176239013671875,0.0,0.0,0.0176239013671875
late_rollout_drift,1,ep00199_t0092_item004817,1,E3,12,enemy,11,dynamic_11,0.0,0.004024505615234375,0.004024505615234375,0.0,0.0,0.004024505615234375
late_rollout_drift,1,ep00199_t0092_item004817,5,A0,0,ally,0,hp,0.8080000281333923,0.71826171875,0.08973830938339233,0.8080000281333923,0.0,-0.08973830938339233
