target_timestep,transition_action_timestep,slot_idx,entity,faction,action_id_if_ally,slot_present,observed_at_input_t,observed_at_target_t,one_step_presence_score,open_loop_presence_score,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,recon_abs_error,one_step_abs_error,open_loop_abs_error,one_minus_actual,open_loop_minus_actual
2,1,0,A0,ally,3,True,True,True,0.999999,0.999998,0,hp,health_shield,1.0,0.974478,0.977164,0.976891,0.025522,0.022836,0.023109,-0.022836,-0.023109
2,1,0,A0,ally,3,True,True,True,0.999999,0.999998,1,cooldown_or_energy,cooldown,0.0,-0.051827,-0.030831,-0.024226,0.051827,0.030831,0.024226,-0.030831,-0.024226
2,1,0,A0,ally,3,True,True,True,0.999999,0.999998,2,dx,position,-0.250527,-0.234027,-0.266699,-0.26647,0.0165,0.016172,0.015943,-0.016172,-0.015943
2,1,0,A0,ally,3,True,True,True,0.999999,0.999998,3,dy,position,-0.115669,-0.112632,-0.13843,-0.147824,0.003037,0.022761,0.032155,-0.022761,-0.032155
2,1,0,A0,ally,3,True,True,True,0.999999,0.999998,4,shield,health_shield,1.0,0.994979,1.007654,1.009437,0.005021,0.007654,0.009437,0.007654,0.009437
2,1,1,A1,ally,1,True,True,True,0.999998,0.999997,0,hp,health_shield,1.0,1.004879,0.997386,1.001037,0.004879,0.002614,0.001037,-0.002614,0.001037
2,1,1,A1,ally,1,True,True,True,0.999998,0.999997,1,cooldown_or_energy,cooldown,0.0,0.009006,-0.001678,-0.003104,0.009006,0.001678,0.003104,-0.001678,-0.003104
2,1,1,A1,ally,1,True,True,True,0.999998,0.999997,2,dx,position,-0.277501,-0.291673,-0.285467,-0.280872,0.014173,0.007966,0.003372,-0.007966,-0.003372
2,1,1,A1,ally,1,True,True,True,0.999998,0.999997,3,dy,position,-0.132825,-0.138591,-0.134056,-0.141474,0.005766,0.001231,0.008649,-0.001231,-0.008649
2,1,1,A1,ally,1,True,True,True,0.999998,0.999997,4,shield,health_shield,1.0,1.026796,1.017543,1.01715,0.026796,0.017543,0.01715,0.017543,0.01715
2,1,2,A2,ally,2,True,True,True,1.0,1.0,0,hp,health_shield,1.0,0.945174,0.964572,0.965898,0.054826,0.035428,0.034102,-0.035428,-0.034102
2,1,2,A2,ally,2,True,True,True,1.0,1.0,1,cooldown_or_energy,cooldown,0.0,-0.040664,-0.005228,-0.014246,0.040664,0.005228,0.014246,-0.005228,-0.014246
2,1,2,A2,ally,2,True,True,True,1.0,1.0,2,dx,position,-0.293656,-0.293062,-0.307449,-0.307872,0.000594,0.013793,0.014216,-0.013793,-0.014216
2,1,2,A2,ally,2,True,True,True,1.0,1.0,3,dy,position,0.064469,0.060726,0.087945,0.08972,0.003743,0.023476,0.025252,0.023476,0.025252
