target_timestep,transition_action_timestep,slot_idx,entity,faction,action_id_if_ally,slot_present,observed_at_input_t,observed_at_target_t,one_step_presence_score,open_loop_presence_score,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,recon_abs_error,one_step_abs_error,open_loop_abs_error,one_minus_actual,open_loop_minus_actual
10,9,0,A0,ally,2,True,True,True,0.999529,0.999996,0,hp,health_shield,1.0,0.92916,1.013436,0.981527,0.07084,0.013436,0.018473,0.013436,-0.018473
10,9,0,A0,ally,2,True,True,True,0.999529,0.999996,1,cooldown_or_energy,cooldown,0.300373,0.218467,0.193377,0.07052,0.081906,0.106996,0.229853,-0.106996,-0.229853
10,9,0,A0,ally,2,True,True,True,0.999529,0.999996,2,dx,position,-0.261776,-0.285659,-0.298989,-0.328477,0.023883,0.037213,0.0667,-0.037213,-0.0667
10,9,0,A0,ally,2,True,True,True,0.999529,0.999996,3,dy,position,-0.035176,-0.075068,-0.073894,-0.024083,0.039892,0.038718,0.011093,-0.038718,0.011093
10,9,0,A0,ally,2,True,True,True,0.999529,0.999996,4,shield,health_shield,0.1,0.278407,0.459819,0.904343,0.178407,0.359819,0.804343,0.359819,0.804343
10,9,1,A1,ally,1,True,True,True,0.999996,0.999997,0,hp,health_shield,1.0,0.980771,0.990877,1.000766,0.019229,0.009123,0.000766,-0.009123,0.000766
10,9,1,A1,ally,1,True,True,True,0.999996,0.999997,1,cooldown_or_energy,cooldown,0.0,-0.03393,0.001297,-0.003987,0.03393,0.001297,0.003987,0.001297,-0.003987
10,9,1,A1,ally,1,True,True,True,0.999996,0.999997,2,dx,position,-0.328395,-0.317606,-0.312152,-0.396197,0.010788,0.016243,0.067802,0.016243,-0.067802
10,9,1,A1,ally,1,True,True,True,0.999996,0.999997,3,dy,position,-0.138717,-0.144011,-0.132534,-0.118289,0.005294,0.006183,0.020429,0.006183,0.020429
10,9,1,A1,ally,1,True,True,True,0.999996,0.999997,4,shield,health_shield,1.0,1.035662,0.983694,0.951333,0.035662,0.016306,0.048667,-0.016306,-0.048667
