target_timestep,transition_action_timestep,slot_idx,entity,faction,action_id_if_ally,slot_present,observed_at_input_t,observed_at_target_t,one_step_presence_score,open_loop_presence_score,feature_idx,feature,feature_group,actual,reconstruction,one_step,open_loop,recon_abs_error,one_step_abs_error,open_loop_abs_error,one_minus_actual,open_loop_minus_actual
20,19,0,A0,ally,0,True,False,False,0.0,0.0,0,hp,health_shield,0.0,0.901228,0.839899,0.790404,0.901228,0.839899,0.790404,0.839899,0.790404
20,19,0,A0,ally,0,True,False,False,0.0,0.0,1,cooldown_or_energy,cooldown,0.0,-0.091185,1.486537,1.55192,0.091185,1.486537,1.55192,1.486537,1.55192
20,19,0,A0,ally,0,True,False,False,0.0,0.0,2,dx,position,0.0,-0.036925,-0.264995,-0.24952,0.036925,0.264995,0.24952,-0.264995,-0.24952
20,19,0,A0,ally,0,True,False,False,0.0,0.0,3,dy,position,0.0,0.138964,-0.109987,-0.17472,0.138964,0.109987,0.17472,-0.109987,-0.17472
20,19,0,A0,ally,0,True,False,False,0.0,0.0,4,shield,health_shield,0.0,-0.001855,-0.111786,-0.094091,0.001855,0.111786,0.094091,-0.111786,-0.094091
20,19,1,A1,ally,7,True,True,True,0.963661,0.991247,0,hp,health_shield,1.0,0.953797,0.808993,0.905596,0.046203,0.191007,0.094404,-0.191007,-0.094404
20,19,1,A1,ally,7,True,True,True,0.963661,0.991247,1,cooldown_or_energy,cooldown,0.953358,0.313113,0.30691,0.249291,0.640245,0.646448,0.704067,-0.646448,-0.704067
20,19,1,A1,ally,7,True,True,True,0.963661,0.991247,2,dx,position,-0.263863,-0.302114,-0.288647,-0.311234,0.03825,0.024783,0.04737,-0.024783,-0.04737
20,19,1,A1,ally,7,True,True,True,0.963661,0.991247,3,dy,position,0.054877,0.018538,0.060215,0.127514,0.036339,0.005339,0.072637,0.005339,0.072637
20,19,1,A1,ally,7,True,True,True,0.963661,0.991247,4,shield,health_shield,0.1,0.171823,0.065615,0.151424,0.071823,0.034385,0.051424,-0.034385,0.051424
20,19,2,A2,ally,3,True,True,True,1.0,1.0,0,hp,health_shield,1.0,1.003021,0.996019,0.969502,0.003021,0.003981,0.030498,-0.003981,-0.030498
20,19,2,A2,ally,3,True,True,True,1.0,1.0,1,cooldown_or_energy,cooldown,0.0,0.017056,0.065094,0.051227,0.017056,0.065094,0.051227,0.065094,0.051227
